,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
304,Permutation (perm_round = 5),0.19466666666666665,2.920356273651123,regression,1,0,16
305,TotalGain-oob (Saabas),0.7653333333333334,1.084528923034668,regression,1,0,32
306,TotalGain-oob (Shap),0.9146666666666666,5.0438549518585205,regression,1,0,32
307,TotalGain,0.6613333333333333,4.658919095993042,regression,1,0,32
308,TotalGain (Shap),0.84,1.4168121814727783,regression,1,0,32
309,Permutation (perm_round = 5),0.21066666666666667,2.876415729522705,regression,1,0,32
310,TotalGain-oob (Saabas),0.7653333333333334,2.1075971126556396,regression,1,0,64
311,TotalGain-oob (Shap),0.9013333333333333,2.192253589630127,regression,1,0,64
312,TotalGain,0.6106666666666667,8.844504594802856,regression,1,0,64
313,TotalGain (Shap),0.7760000000000001,3.043977975845337,regression,1,0,64
314,Permutation (perm_round = 5),0.42400000000000004,3.558454990386963,regression,1,0,64
315,TotalGain-oob (Saabas),0.7106666666666666,0.043172597885131836,regression,1,1,1
316,TotalGain-oob (Shap),0.86,0.25162291526794434,regression,1,1,1
317,TotalGain,0.8546666666666667,0.3115823268890381,regression,1,1,1
318,TotalGain (Shap),0.8733333333333333,0.05199766159057617,regression,1,1,1
319,Permutation (perm_round = 5),0.2706666666666667,2.7473742961883545,regression,1,1,1
320,TotalGain-oob (Saabas),0.7106666666666667,0.25375986099243164,regression,1,1,2
321,TotalGain-oob (Shap),0.7053333333333334,0.20616388320922852,regression,1,1,2
322,TotalGain,0.9786666666666667,0.3458840847015381,regression,1,1,2
323,TotalGain (Shap),0.9946666666666666,0.08846426010131836,regression,1,1,2
324,Permutation (perm_round = 5),0.13466666666666666,2.8196916580200195,regression,1,1,2
325,TotalGain-oob (Saabas),0.724,0.2605586051940918,regression,1,1,4
326,TotalGain-oob (Shap),0.7266666666666667,0.28834986686706543,regression,1,1,4
327,TotalGain,0.9786666666666667,0.608483076095581,regression,1,1,4
328,TotalGain (Shap),0.9946666666666667,0.18524622917175293,regression,1,1,4
329,Permutation (perm_round = 5),0.11066666666666669,2.859846830368042,regression,1,1,4
330,TotalGain-oob (Saabas),0.7186666666666667,0.37169408798217773,regression,1,1,8
331,TotalGain-oob (Shap),0.7000000000000001,0.4271233081817627,regression,1,1,8
332,TotalGain,0.9466666666666668,0.7922427654266357,regression,1,1,8
333,TotalGain (Shap),0.9813333333333333,0.3415343761444092,regression,1,1,8
334,Permutation (perm_round = 5),0.2626666666666667,2.8330631256103516,regression,1,1,8
335,TotalGain-oob (Saabas),0.7760000000000001,1.3396110534667969,regression,1,1,16
336,TotalGain-oob (Shap),0.784,0.5703673362731934,regression,1,1,16
337,TotalGain,0.8853333333333333,1.3076376914978027,regression,1,1,16
338,TotalGain (Shap),0.9466666666666668,0.6891436576843262,regression,1,1,16
339,Permutation (perm_round = 5),0.088,3.0749588012695312,regression,1,1,16
340,TotalGain-oob (Saabas),0.7626666666666667,1.4228579998016357,regression,1,1,32
341,TotalGain-oob (Shap),0.768,1.23075270652771,regression,1,1,32
342,TotalGain,0.8426666666666668,2.185974597930908,regression,1,1,32
343,TotalGain (Shap),0.904,1.3658125400543213,regression,1,1,32
344,Permutation (perm_round = 5),0.13066666666666665,3.4069244861602783,regression,1,1,32
345,TotalGain-oob (Saabas),0.6933333333333334,3.878803014755249,regression,1,1,64
346,TotalGain-oob (Shap),0.7040000000000001,3.0432498455047607,regression,1,1,64
347,TotalGain,0.8266666666666667,4.022453546524048,regression,1,1,64
348,TotalGain (Shap),0.8586666666666667,3.175204277038574,regression,1,1,64
